event_time,close,sPos,sNeg,trigger
2023-09-11,5509785566.67392,0.0,0.0,-1
2023-09-12,-7695569270.731411,0.0,0.0,-1
2023-09-15,12650346427.491783,0.0,0.0,1
2023-09-18,7034191148.295865,0.0,0.0,-1
2023-09-20,-7433161042.149721,0.0,0.0,-1
2023-09-26,3841843279.870575,0.0,0.0,1
2023-09-28,-4108240443.0773177,0.0,0.0,-1
2023-09-29,5587092411.342026,0.0,0.0,1
2023-10-03,-4228226851.1597934,0.0,0.0,-1
2023-10-05,4834442247.399996,0.0,0.0,1
2023-10-09,-3893828869.07631,0.0,0.0,-1
2023-10-10,6128700229.057132,0.0,0.0,1
2023-10-13,18470295924.29144,0.0,0.0,1
2023-10-16,-13173608824.482534,0.0,0.0,-1
2023-10-17,-6652200716.48327,0.0,0.0,1
2023-10-18,9851158875.338694,0.0,0.0,1
2023-10-20,-7708674592.116579,0.0,0.0,-1
2023-10-27,6483844597.244989,0.0,0.0,1
2023-10-30,-7943534981.742008,0.0,0.0,-1
2023-10-31,7081027405.232828,0.0,0.0,1
2023-11-01,-5450680958.71153,0.0,0.0,-1
2023-11-02,6249504895.293941,0.0,0.0,1
2023-11-03,14776350437.868307,0.0,0.0,1
2023-11-07,-11097531793.474373,0.0,0.0,-1
2023-11-10,6491770347.72492,0.0,0.0,1
2023-11-16,11770103826.711912,0.0,0.0,1
2023-11-30,-16949548269.669044,0.0,0.0,-1
2023-12-28,27326249375.459435,0.0,0.0,1
2023-12-29,31739018429.631664,0.0,0.0,1
2024-01-31,89698823299.06029,0.0,0.0,1
2024-02-01,-12595918389.546112,0.0,0.0,-1
2024-02-05,46734487082.96483,0.0,0.0,1
2024-03-05,54135676549.2784,0.0,0.0,1
2024-03-06,-14298277823.264948,0.0,0.0,-1
2024-03-14,-36960260428.91898,0.0,0.0,-1
2024-03-15,-21868210820.14504,0.0,0.0,1
2024-04-04,42634175939.67026,0.0,0.0,1
2024-04-16,-13466775806.67229,0.0,0.0,-1
2024-05-02,31709314673.88015,0.0,0.0,1
2024-05-03,-11891600831.809517,0.0,0.0,-1
2024-05-09,24140613677.65942,0.0,0.0,1
2024-05-10,13845374949.716509,0.0,0.0,-1
2024-05-13,-55945883879.173805,0.0,0.0,-1
2024-05-31,-60010282185.51392,0.0,0.0,-1
2024-06-03,11568681497.23143,0.0,0.0,1
2024-06-11,38232958413.91487,0.0,0.0,1
2024-06-12,17182197065.343895,0.0,0.0,-1
2024-06-24,-30342017760.951225,0.0,0.0,-1
2024-06-26,-13436239858.298405,0.0,0.0,1
2024-06-27,18683917784.74085,0.0,0.0,1
2024-07-10,-13371011601.176191,0.0,0.0,-1
2024-07-25,50828101734.66574,0.0,0.0,1
2024-07-26,23542279759.75448,0.0,0.0,-1
2024-07-30,46143338640.396416,0.0,0.0,1
2024-08-02,-52652084301.1841,0.0,0.0,-1
2024-08-05,-26858628946.93916,0.0,0.0,1
2024-08-09,29857903294.423145,0.0,0.0,1
2024-08-12,12068622485.77909,0.0,0.0,-1
2024-08-19,-7453490502.57816,0.0,0.0,-1
2024-08-23,10952287335.12548,0.0,0.0,1
2024-08-27,-9413199301.906298,0.0,0.0,-1
2024-08-29,45215471094.77826,0.0,0.0,1
2024-09-02,-28238493928.185795,0.0,0.0,-1
2024-09-05,-18847929739.978737,0.0,0.0,1
2024-09-06,-9069600744.810598,0.0,0.0,1
