event_time,close,sPos,sNeg,trigger
2023-11-10,114.9972381592,0.0,0.0,1
2023-11-15,118.8288803101,0.0,0.0,1
2023-11-29,122.3731460571,0.0,0.0,1
2023-12-04,125.486366272,0.0,0.0,1
2023-12-15,130.7069702148,0.0,0.0,1
2023-12-20,124.2889709473,0.0,0.0,-1
2023-12-22,127.9290390015,0.0,0.0,1
2023-12-27,131.4254150391,0.0,0.0,1
2024-01-03,129.6532745361,0.0,0.0,-1
2024-01-08,126.4442672729,0.0,0.0,-1
2024-01-12,129.6053771973,0.0,0.0,1
2024-01-17,126.1089935303,0.0,0.0,-1
2024-01-19,128.5995635986,0.0,0.0,1
2024-01-23,124.6242446899,0.0,0.0,-1
2024-01-24,129.4616851807,0.0,0.0,1
2024-02-02,132.8622741699,0.0,0.0,1
2024-02-06,138.5618438721,0.0,0.0,1
2024-02-09,135.3528442383,0.0,0.0,-1
2024-02-12,131.6169891357,0.0,0.0,-1
2024-02-14,135.2570495605,0.0,0.0,1
2024-02-22,139.7592315674,0.0,0.0,1
2024-02-26,136.6460266113,0.0,0.0,-1
2024-02-28,134.8259887695,0.0,0.0,-1
2024-03-01,143.6387786865,0.0,0.0,1
2024-03-07,150.6315307617,0.0,0.0,1
2024-03-11,146.9914550781,0.0,0.0,-1
2024-03-13,137.6039276123,0.0,0.0,-1
2024-03-18,143.399307251,0.0,0.0,1
2024-03-20,139.5197601318,0.0,0.0,-1
2024-03-21,143.7824707031,0.0,0.0,1
2024-03-28,149.2904663086,0.0,0.0,1
2024-04-01,156.283203125,0.0,0.0,1
2024-04-15,154.0800170898,0.0,0.0,-1
2024-04-24,158.5821990967,0.0,0.0,1
2024-05-07,157.3368988037,0.0,0.0,-1
2024-05-09,155.0858154297,0.0,0.0,-1
2024-05-15,158.6300964355,0.0,0.0,1
2024-05-21,167.0118255615,0.0,0.0,1
2024-05-30,157.2411193848,0.0,0.0,-1
2024-06-03,166.916015625,0.0,0.0,1
2024-06-04,152.2599639893,0.0,0.0,-1
2024-06-05,162.0785522461,0.0,0.0,1
2024-06-07,171.3702850342,0.0,0.0,1
2024-06-12,174.5601348877,0.0,0.0,1
2024-06-21,175.8393249512,0.0,0.0,1
2024-06-25,171.6764068604,0.0,0.0,-1
2024-07-03,172.3506774902,0.0,0.0,1
2024-07-08,168.3538818359,0.0,0.0,-1
2024-07-10,164.1518859863,0.0,0.0,-1
2024-07-19,154.1745605469,0.0,0.0,-1
2024-07-26,158.8456268311,0.0,0.0,1
2024-08-02,154.6143035889,0.0,0.0,-1
2024-08-05,146.40574646,0.0,0.0,-1
2024-08-07,150.3536682129,0.0,0.0,1
2024-08-08,146.855255127,0.0,0.0,-1
2024-08-13,145.4871673584,0.0,0.0,-1
2024-08-16,146.1125793457,0.0,0.0,1
2024-08-19,150.4514007568,0.0,0.0,1
2024-08-26,152.1517333984,0.0,0.0,1
2024-09-03,148.6826324463,0.0,0.0,-1
2024-09-11,144.7933349609,0.0,0.0,-1
2024-09-12,148.2819824219,0.0,0.0,1
2024-09-18,147.16796875,0.0,0.0,-1
2024-09-23,150.4807128906,0.0,0.0,1
2024-09-24,156.8716583252,0.0,0.0,1
2024-09-26,161.8358917236,0.0,0.0,1
2024-10-07,160.6143798828,0.0,0.0,-1
2024-10-08,155.8846893311,0.0,0.0,-1
2024-10-15,152.0833282471,0.0,0.0,-1
2024-10-17,148.9269256592,0.0,0.0,-1
2024-10-22,146.9627380371,0.0,0.0,-1
2024-10-25,142.5359802246,0.0,0.0,-1
2024-10-28,145.975769043,0.0,0.0,1
2024-11-05,148.819442749,0.0,0.0,1
2024-11-08,144.2070159912,0.0,0.0,-1
2024-11-12,140.8844909668,0.0,0.0,-1
2024-11-13,135.9984436035,0.0,0.0,-1
2024-11-18,137.9919586182,0.0,0.0,1
2024-11-22,139.5261688232,0.0,0.0,1
2024-12-02,143.0734558105,0.0,0.0,1
2024-12-09,146.4643707275,0.0,0.0,1
2024-12-17,142.3600769043,0.0,0.0,-1
2024-12-20,137.4740142822,0.0,0.0,-1
2024-12-30,133.760635376,0.0,0.0,-1
2025-01-06,129.1677246094,0.0,0.0,-1
2025-01-09,126.96900177,0.0,0.0,-1
2025-01-13,120.1285324097,0.0,0.0,-1
2025-01-14,124.0373764038,0.0,0.0,1
2025-01-17,127.3110351562,0.0,0.0,1
2025-01-27,123.4901428223,0.0,0.0,-1
2025-01-29,127.8191833496,0.0,0.0,1
2025-01-31,131.5521240234,0.0,0.0,1
2025-02-07,135.1580352783,0.0,0.0,1
2025-02-10,130.9853363037,0.0,0.0,-1
2025-02-11,127.1449050903,0.0,0.0,-1
2025-02-13,133.1449890137,0.0,0.0,1
2025-02-20,134.8941802979,0.0,0.0,1
