event_time,close,sPos,sNeg,trigger
2023-09-27,3194.4523925781,0.0,0.0,-1
2023-09-28,3137.5104980469,0.0,0.0,-1
2023-10-03,3176.2668457031,0.0,0.0,1
2023-10-05,3196.3901367188,0.0,0.0,1
2023-10-06,3289.0571289062,0.0,0.0,1
2023-10-09,3247.0712890625,0.0,0.0,-1
2023-10-17,3287.7651367188,0.0,0.0,1
2023-10-20,3245.779296875,0.0,0.0,-1
2023-10-23,3199.6198730469,0.0,0.0,-1
2023-10-26,3081.4135742188,0.0,0.0,-1
2023-10-31,3169.7080078125,0.0,0.0,1
2023-11-03,3254.0275878906,0.0,0.0,1
2023-11-08,3291.1440429688,0.0,0.0,1
2023-11-10,3235.9909667969,0.0,0.0,-1
2023-11-15,3275.3432617188,0.0,0.0,1
2023-11-16,3315.0932617188,0.0,0.0,1
2023-11-21,3373.2275390625,0.0,0.0,1
2023-11-28,3420.8776855469,0.0,0.0,1
2023-11-30,3468.7763671875,0.0,0.0,1
2023-12-05,3523.1345214844,0.0,0.0,1
2023-12-07,3562.9836425781,0.0,0.0,1
2023-12-08,3611.92578125,0.0,0.0,1
2023-12-12,3549.0710449219,0.0,0.0,-1
2023-12-18,3596.9699707031,0.0,0.0,1
2023-12-20,3531.8796386719,0.0,0.0,-1
2023-12-22,3604.6716308594,0.0,0.0,1
2023-12-27,3666.1845703125,0.0,0.0,1
2023-12-29,3652.4704589844,0.0,0.0,-1
2024-01-04,3696.4440917969,0.0,0.0,1
2024-01-15,3735.349609375,0.0,0.0,1
2024-01-16,3796.4150390625,0.0,0.0,1
2024-01-18,3711.3500976562,0.0,0.0,-1
2024-01-19,3786.7758789062,0.0,0.0,1
2024-01-23,3716.2690429688,0.0,0.0,-1
2024-01-29,3842.4753417969,0.0,0.0,1
2024-01-30,3712.3935546875,0.0,0.0,-1
2024-02-01,3604.7707519531,0.0,0.0,-1
2024-02-05,3529.8422851562,0.0,0.0,-1
2024-02-09,3569.1450195312,0.0,0.0,1
2024-02-15,3599.4047851562,0.0,0.0,1
2024-02-19,3671.9482421875,0.0,0.0,1
2024-02-21,3633.490234375,0.0,0.0,-1
2024-02-23,3668.8676757812,0.0,0.0,1
2024-02-26,3599.8518066406,0.0,0.0,-1
2024-02-28,3572.2255859375,0.0,0.0,-1
2024-03-01,3742.3552246094,0.0,0.0,1
2024-03-06,3786.9248046875,0.0,0.0,1
2024-03-11,3726.7033691406,0.0,0.0,-1
2024-03-13,3603.0317382812,0.0,0.0,-1
2024-03-18,3557.3193359375,0.0,0.0,-1
2024-03-21,3604.8701171875,0.0,0.0,1
2024-03-22,3683.5251464844,0.0,0.0,1
2024-03-27,3735.8957519531,0.0,0.0,1
2024-03-28,3778.0310058594,0.0,0.0,1
2024-04-01,3715.0270996094,0.0,0.0,-1
2024-04-03,3689.2890625,0.0,0.0,-1
2024-04-04,3759.0998535156,0.0,0.0,1
2024-04-09,3656.3464355469,0.0,0.0,-1
2024-04-12,3596.671875,0.0,0.0,-1
2024-04-16,3623.10546875,0.0,0.0,1
2024-04-18,3503.0607910156,0.0,0.0,-1
2024-04-22,3574.2629394531,0.0,0.0,1
2024-04-25,3548.7731933594,0.0,0.0,-1
2024-05-03,3511.8056640625,0.0,0.0,-1
2024-05-06,3259.6420898438,0.0,0.0,-1
2024-05-10,3269.2814941406,0.0,0.0,1
2024-05-16,3313.0559082031,0.0,0.0,1
2024-05-21,3355.8864746094,0.0,0.0,1
2024-05-23,3430.4675292969,0.0,0.0,1
2024-05-24,3391.0651855469,0.0,0.0,-1
2024-05-30,3251.3942871094,0.0,0.0,-1
2024-06-05,3296.9077148438,0.0,0.0,1
2024-06-07,3422.5173339844,0.0,0.0,1
2024-06-12,3361.1535644531,0.0,0.0,-1
2024-06-13,3450.4912109375,0.0,0.0,1
2024-06-14,3507.9797363281,0.0,0.0,1
2024-06-18,3566.5612792969,0.0,0.0,1
2024-06-19,3440.703125,0.0,0.0,-1
2024-06-21,3378.4943847656,0.0,0.0,-1
2024-06-26,3351.6633300781,0.0,0.0,-1
2024-06-28,3393.9858398438,0.0,0.0,1
2024-07-03,3350.1677246094,0.0,0.0,-1
2024-07-05,3259.5405273438,0.0,0.0,-1
2024-07-08,3146.7299804688,0.0,0.0,-1
2024-07-09,3205.5029296875,0.0,0.0,1
2024-07-18,3252.3122558594,0.0,0.0,1
2024-07-23,3456.4479980469,0.0,0.0,1
2024-07-25,3395.5810546875,0.0,0.0,-1
2024-07-26,3483.666015625,0.0,0.0,1
2024-07-29,3401.4633789062,0.0,0.0,-1
2024-07-30,3457.84375,0.0,0.0,1
2024-08-05,3365.8205566406,0.0,0.0,-1
2024-08-06,3325.0932617188,0.0,0.0,-1
2024-08-08,3286.6091308594,0.0,0.0,-1
2024-08-13,3373.3979492188,0.0,0.0,1
2024-08-16,3434.4143066406,0.0,0.0,1
2024-08-21,3549.7170410156,0.0,0.0,1
2024-08-22,3593.5852050781,0.0,0.0,1
2024-08-26,3619.3078613281,0.0,0.0,1
2024-08-27,3540.5947265625,0.0,0.0,-1
2024-09-02,3576.7858886719,0.0,0.0,1
2024-09-05,3711.6799316406,0.0,0.0,1
2024-09-09,3673.4948730469,0.0,0.0,-1
2024-09-10,3716.2160644531,0.0,0.0,1
2024-09-12,3752.9555664062,0.0,0.0,1
2024-09-18,3714.1723632812,0.0,0.0,-1
2024-09-19,3769.60546875,0.0,0.0,1
2024-09-23,3808.6381835938,0.0,0.0,1
2024-09-25,3726.0366210938,0.0,0.0,-1
2024-09-27,3805.2482910156,0.0,0.0,1
2024-10-01,3764.6203613281,0.0,0.0,-1
2024-10-03,3663.9235839844,0.0,0.0,-1
