event_time,close,sPos,sNeg,trigger
2023-11-06,2229.7370605469,0.0,0.0,1
2023-11-08,2449.046875,0.0,0.0,1
2023-11-29,2672.2497558594,0.0,0.0,1
2023-12-13,2958.8547363281,0.0,0.0,1
2024-01-10,3168.6789550781,0.0,0.0,1
2024-02-05,3022.4560546875,0.0,0.0,-1
2024-02-07,3601.90625,0.0,0.0,1
2024-02-08,3835.9926757812,0.0,0.0,1
2024-02-16,4018.359375,0.0,0.0,1
2024-03-14,4074.7719726562,0.0,0.0,1
2024-04-19,4152.5009765625,0.0,0.0,1
2024-04-30,4403.0620117188,0.0,0.0,1
2024-05-02,4639.4951171875,0.0,0.0,1
2024-05-09,4401.115234375,0.0,0.0,-1
2024-05-17,4627.36328125,0.0,0.0,1
2024-06-05,4899.5551757812,0.0,0.0,1
2024-06-14,5241.0092773438,0.0,0.0,1
2024-06-28,5475.1069335938,0.0,0.0,1
2024-07-18,5303.9052734375,0.0,0.0,-1
2024-07-26,5388.681640625,0.0,0.0,1
2024-07-30,5615.6352539062,0.0,0.0,1
2024-08-02,5533.4560546875,0.0,0.0,-1
2024-08-06,5216.1811523438,0.0,0.0,-1
2024-08-07,5467.7133789062,0.0,0.0,1
2024-08-09,6269.9184570312,0.0,0.0,1
2024-08-16,6496.771484375,0.0,0.0,1
2024-08-20,6788.0190429688,0.0,0.0,1
2024-08-28,7235.8315429688,0.0,0.0,1
2024-09-16,7312.46484375,0.0,0.0,1
2024-09-23,7616.8515625,0.0,0.0,1
2024-09-26,7838.6088867188,0.0,0.0,1
2024-09-30,7568.0932617188,0.0,0.0,-1
2024-10-04,7346.9350585938,0.0,0.0,-1
2024-10-08,8034.9892578125,0.0,0.0,1
2024-10-16,7799.0434570312,0.0,0.0,-1
2024-10-22,7490.8603515625,0.0,0.0,-1
2024-10-30,7246.1728515625,0.0,0.0,-1
2024-11-05,6962.318359375,0.0,0.0,-1
2024-11-07,6499.869140625,0.0,0.0,-1
2024-11-12,6522.8989257812,0.0,0.0,1
2024-11-18,6296.1953125,0.0,0.0,-1
2024-11-22,6647.0415039062,0.0,0.0,1
2024-12-05,6964.0668945312,0.0,0.0,1
2024-12-18,7107.5922851562,0.0,0.0,1
2024-12-20,6825.63671875,0.0,0.0,-1
2024-12-26,7057.5859375,0.0,0.0,1
2025-01-02,7314.6630859375,0.0,0.0,1
2025-01-06,6992.2924804688,0.0,0.0,-1
2025-01-08,6693.3012695312,0.0,0.0,-1
2025-01-13,6219.0122070312,0.0,0.0,-1
2025-01-15,6384.71875,0.0,0.0,1
2025-01-20,6084.728515625,0.0,0.0,-1
2025-01-21,5731.984375,0.0,0.0,-1
2025-01-24,5485.6977539062,0.0,0.0,-1
2025-01-31,5748.2202148438,0.0,0.0,1
2025-02-01,6184.142578125,0.0,0.0,1
2025-02-04,5745.322265625,0.0,0.0,-1
2025-02-06,5272.5322265625,0.0,0.0,-1
2025-02-10,5192.251953125,0.0,0.0,-1
2025-02-18,4993.423828125,0.0,0.0,-1
2025-02-27,4801.140625,0.0,0.0,-1
2025-03-05,5101.6801757812,0.0,0.0,1
2025-03-10,4795.5458984375,0.0,0.0,-1
2025-03-13,5018.052734375,0.0,0.0,1
2025-03-26,5317.34375,0.0,0.0,1
2025-04-01,5571.9228515625,0.0,0.0,1
2025-04-07,4736.8466796875,0.0,0.0,-1
2025-04-15,4872.7788085938,0.0,0.0,1
2025-04-17,5126.0590820312,0.0,0.0,1
2025-04-21,5355.3603515625,0.0,0.0,1
2025-04-29,5386.8330078125,0.0,0.0,1
2025-04-30,5168.0229492188,0.0,0.0,-1
2025-05-09,5108.57421875,0.0,0.0,-1
2025-05-12,5436.2905273438,0.0,0.0,1
2025-05-15,5572.6723632812,0.0,0.0,1
2025-05-22,5337.3759765625,0.0,0.0,-1
2025-05-27,5568.1762695312,0.0,0.0,1
2025-06-06,5771.9995117188,0.0,0.0,1
2025-06-12,5627.5,0.0,0.0,-1
2025-06-20,5897.5,0.0,0.0,1
2025-06-23,6120.0,0.0,0.0,1
2025-07-04,5456.0,0.0,0.0,-1
2025-07-24,5154.0,0.0,0.0,-1
2025-08-04,5249.0,0.0,0.0,1
2025-08-18,5519.0,0.0,0.0,1
2025-08-26,5295.0,0.0,0.0,-1
