event_time,close,sPos,sNeg,trigger
2023-11-15,187.9049682617,0.0,0.0,1
2023-11-29,194.9097290039,0.0,0.0,1
2023-12-06,200.9069519043,0.0,0.0,1
2023-12-14,208.4154815674,0.0,0.0,1
2023-12-15,214.2447662354,0.0,0.0,1
2023-12-20,207.240020752,0.0,0.0,-1
2023-12-22,221.9691925049,0.0,0.0,1
2024-01-01,228.9259796143,0.0,0.0,1
2024-01-03,218.7306976318,0.0,0.0,-1
2024-01-12,223.3125762939,0.0,0.0,1
2024-01-15,237.2981109619,0.0,0.0,1
2024-01-17,231.44480896,0.0,0.0,-1
2024-01-23,225.4475860596,0.0,0.0,-1
2024-02-02,232.2989959717,0.0,0.0,1
2024-02-06,240.2322235107,0.0,0.0,1
2024-02-12,241.0976715088,0.0,0.0,1
2024-02-14,247.3721160889,0.0,0.0,1
2024-02-16,261.0749511719,0.0,0.0,1
2024-02-21,250.689666748,0.0,0.0,-1
2024-02-23,257.781463623,0.0,0.0,1
2024-02-28,248.9106903076,0.0,0.0,-1
2024-03-13,242.5160217285,0.0,0.0,-1
2024-03-14,249.0308837891,0.0,0.0,1
2024-03-19,237.9243774414,0.0,0.0,-1
2024-03-22,234.1981658936,0.0,0.0,-1
2024-03-27,227.0823059082,0.0,0.0,-1
2024-04-01,233.1644592285,0.0,0.0,1
2024-04-09,228.76512146,0.0,0.0,-1
2024-04-15,220.8559417725,0.0,0.0,-1
2024-04-18,213.6439361572,0.0,0.0,-1
2024-04-22,222.130065918,0.0,0.0,1
2024-05-10,217.2499389648,0.0,0.0,-1
2024-05-16,223.3080291748,0.0,0.0,1
2024-05-27,217.5384216309,0.0,0.0,-1
2024-05-30,210.0859985352,0.0,0.0,-1
2024-06-05,217.0816650391,0.0,0.0,1
2024-06-07,232.9721221924,0.0,0.0,1
2024-06-18,236.4819793701,0.0,0.0,1
2024-06-27,245.5931396484,0.0,0.0,1
2024-07-01,253.5503997803,0.0,0.0,1
2024-07-03,259.1517333984,0.0,0.0,1
2024-07-12,269.3207092285,0.0,0.0,1
2024-07-18,275.5951538086,0.0,0.0,1
2024-07-19,267.9023132324,0.0,0.0,-1
2024-07-22,243.1891326904,0.0,0.0,-1
2024-07-26,252.3243560791,0.0,0.0,1
2024-08-02,241.4342193604,0.0,0.0,-1
2024-08-05,233.1884918213,0.0,0.0,-1
2024-08-07,239.1504058838,0.0,0.0,1
2024-08-16,248.2135314941,0.0,0.0,1
2024-08-23,246.3624572754,0.0,0.0,-1
2024-08-28,257.0362243652,0.0,0.0,1
2024-09-04,249.6078491211,0.0,0.0,-1
2024-09-11,247.299987793,0.0,0.0,-1
2024-09-12,254.8485717773,0.0,0.0,1
2024-09-13,264.7290039062,0.0,0.0,1
2024-09-18,258.7430725098,0.0,0.0,-1
2024-10-01,262.8779602051,0.0,0.0,1
2024-10-03,254.8966674805,0.0,0.0,-1
2024-10-14,264.2241821289,0.0,0.0,1
2024-10-15,256.2428894043,0.0,0.0,-1
2024-10-18,263.7915039062,0.0,0.0,1
2024-10-28,268.5754089355,0.0,0.0,1
2024-10-31,265.3059997559,0.0,0.0,-1
2024-11-06,271.1236877441,0.0,0.0,1
2024-11-18,265.8108215332,0.0,0.0,-1
2024-11-22,274.8498840332,0.0,0.0,1
2024-11-26,283.1918029785,0.0,0.0,1
2024-11-28,275.1143493652,0.0,0.0,-1
2024-12-02,281.0522460938,0.0,0.0,1
2024-12-05,287.8074645996,0.0,0.0,1
2024-12-09,292.0866088867,0.0,0.0,1
2024-12-13,298.0485534668,0.0,0.0,1
2024-12-20,293.4809570312,0.0,0.0,-1
2024-12-31,290.259552002,0.0,0.0,-1
2025-01-03,283.143737793,0.0,0.0,-1
2025-01-10,289.0094604492,0.0,0.0,1
2025-01-13,280.6435546875,0.0,0.0,-1
2025-01-17,271.1236877441,0.0,0.0,-1
