date_time,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value,signed_dollar_imbalance
2015-08-26,1,483.6089477539,483.6089477539,483.6089477539,483.6089477539,6910566.0,6910566.0,1,3342011551.6438775,3342011551.6438775
2015-08-27,2,496.9286804199,496.9286804199,496.9286804199,496.9286804199,11302689.0,11302689.0,1,5616630329.966519,5616630329.966519
2015-08-28,3,495.8553161621,495.8553161621,495.8553161621,495.8553161621,10015309.0,0.0,1,4966144210.656126,-4966144210.656126
2015-08-31,4,495.4649963379,495.4649963379,495.4649963379,495.4649963379,6111825.0,0.0,1,3028195351.2428856,-3028195351.2428856
2015-09-01,5,468.4839477539,468.4839477539,468.4839477539,468.4839477539,8843551.0,0.0,1,4143061684.64295,-4143061684.64295
2015-09-02,6,455.3106384277,455.3106384277,455.3106384277,455.3106384277,11537443.0,0.0,1,5253120538.153198,-5253120538.153198
2015-09-03,7,475.1194152832,475.1194152832,475.1194152832,475.1194152832,8651466.0,8651466.0,1,4110479467.262485,4110479467.262485
2015-09-04,8,456.6767272949,456.6767272949,456.6767272949,456.6767272949,8969600.0,0.0,1,4096207573.144335,-4096207573.144335
2015-09-07,9,438.9658508301,438.9658508301,438.9658508301,438.9658508301,9743637.0,0.0,1,4277123905.884643,-4277123905.884643
2015-09-08,10,462.4339599609,462.4339599609,462.4339599609,462.4339599609,12602488.0,12602488.0,1,5827818431.199722,5827818431.199722
2015-09-09,11,474.4851379395,474.4851379395,474.4851379395,474.4851379395,11672474.0,11672474.0,1,5538415435.985228,5538415435.985228
2015-09-10,12,470.9234924316,470.9234924316,470.9234924316,470.9234924316,8384392.0,0.0,1,3948407162.5555673,-3948407162.5555673
2015-09-11,13,469.6061096191,469.6061096191,469.6061096191,469.6061096191,7212180.0,0.0,1,3386883791.6726804,-3386883791.6726804
2015-09-14,14,484.1944274902,484.1944274902,484.1944274902,484.1944274902,5537347.0,5537347.0,1,2681152560.4795766,2681152560.4795766
2015-09-15,15,470.2403869629,470.2403869629,470.2403869629,470.2403869629,9567400.0,0.0,1,4498977878.228849,-4498977878.228849
2015-09-16,16,482.291595459,482.291595459,482.291595459,482.291595459,7293528.0,7293528.0,1,3517607255.6448894,3517607255.6448894
2015-09-18,17,504.930267334,504.930267334,504.930267334,504.930267334,18814281.0,18814281.0,1,9499899935.026997,9499899935.026997
2015-09-24,21,515.2249755859,515.2249755859,497.3678283691,501.5149536133,29388587.0,22030153.0,4,14794652162.100208,7474955484.545509
2015-09-28,22,494.4403686523,494.4403686523,494.4403686523,494.4403686523,6526803.0,0.0,1,3227114881.4409375,-3227114881.4409375
2015-09-29,23,492.2936096191,492.2936096191,492.2936096191,492.2936096191,19935063.0,0.0,1,9813904122.254164,-9813904122.254164
2015-10-08,29,483.6577453613,500.8318481445,479.6081542969,479.6081542969,59314245.0,17695167.0,6,28915370953.181973,-11460729214.4188
2015-10-09,30,478.5835571289,478.5835571289,478.5835571289,478.5835571289,10368020.0,0.0,1,4961963891.983578,-4961963891.983578
2015-10-15,34,475.2657775879,486.6339111328,475.2657775879,486.6339111328,23731217.0,18164622.0,4,11412185431.07626,6120961228.692429
2015-10-16,35,492.7814941406,492.7814941406,492.7814941406,492.7814941406,5875167.0,5875167.0,1,2895173572.5855465,2895173572.5855465
2015-10-20,37,494.3915710449,497.0750427246,494.3915710449,497.0750427246,9972328.0,9972328.0,2,4945609747.861547,4945609747.861547
2015-10-21,38,499.3681335449,499.3681335449,499.3681335449,499.3681335449,6245542.0,6245542.0,1,3118824651.5162816,3118824651.5162816
2015-10-23,39,512.9318847656,512.9318847656,512.9318847656,512.9318847656,11628906.0,11628906.0,1,5964836672.341994,5964836672.341994
2015-10-26,40,508.443145752,508.443145752,508.443145752,508.443145752,8015119.0,0.0,1,4075232317.9366245,-4075232317.9366245
2015-10-27,41,509.174987793,509.174987793,509.174987793,509.174987793,13011580.0,13011580.0,1,6625171087.667644,6625171087.667644
2015-10-28,42,471.2161865234,471.2161865234,471.2161865234,471.2161865234,33157058.0,0.0,1,15624142427.095192,-15624142427.095192
2015-10-29,43,457.603729248,457.603729248,457.603729248,457.603729248,22054683.0,0.0,1,10092305188.182468,-10092305188.182468
2015-10-30,44,463.897644043,463.897644043,463.897644043,463.897644043,16103533.0,16103533.0,1,7470391019.468704,7470391019.468704
2015-11-02,45,466.6787109375,466.6787109375,466.6787109375,466.6787109375,10316509.0,10316509.0,1,4814495121.495117,4814495121.495117
2015-11-03,46,463.1658325195,463.1658325195,463.1658325195,463.1658325195,9337442.0,0.0,1,4324784097.532545,-4324784097.532545
2015-11-04,47,461.0678100586,461.0678100586,461.0678100586,461.0678100586,6319148.0,0.0,1,2913555729.796182,-2913555729.796182
2015-11-05,48,452.5783081055,452.5783081055,452.5783081055,452.5783081055,8078032.0,0.0,1,3655942055.3820887,-3655942055.3820887
2015-11-06,49,453.8956298828,453.8956298828,453.8956298828,453.8956298828,9185858.0,9185858.0,1,4169420802.9239573,4169420802.9239573
2015-11-09,50,453.7005310059,453.7005310059,453.7005310059,453.7005310059,9643857.0,0.0,1,4375423041.844966,-4375423041.844966
2015-11-10,51,457.0182495117,457.0182495117,457.0182495117,457.0182495117,7040567.0,7040567.0,1,3217667605.909841,3217667605.909841
2015-11-13,52,473.2166748047,473.2166748047,473.2166748047,473.2166748047,10014779.0,10014779.0,1,4739160417.283938,4739160417.283938
2015-11-16,53,469.8013305664,469.8013305664,469.8013305664,469.8013305664,6488927.0,0.0,1,3048506538.5482383,-3048506538.5482383
2015-11-17,54,464.0928649902,464.0928649902,464.0928649902,464.0928649902,5944197.0,0.0,1,2758659415.7961516,-2758659415.7961516
2015-11-18,55,452.3343505859,452.3343505859,452.3343505859,452.3343505859,6081331.0,0.0,1,2750794908.582902,-2750794908.582902
2015-11-19,56,451.8464660645,451.8464660645,451.8464660645,451.8464660645,8717250.0,0.0,1,3938858606.3007627,-3938858606.3007627
2015-11-20,57,448.7239074707,448.7239074707,448.7239074707,448.7239074707,11446890.0,0.0,1,5136493209.187281,-5136493209.187281
2015-11-23,58,451.5049743652,451.5049743652,451.5049743652,451.5049743652,7774882.0,7774882.0,1,3510397898.1024547,3510397898.1024547
2015-11-24,59,452.6271057129,452.6271057129,452.6271057129,452.6271057129,5388027.0,5388027.0,1,2438767066.5129595,2438767066.5129595
2015-11-26,60,454.0420227051,454.0420227051,454.0420227051,454.0420227051,26648537.0,26648537.0,1,12099555641.611698,12099555641.611698
2015-12-02,64,459.6041564941,459.6041564941,448.3823852539,448.3823852539,37546003.0,10288912.0,4,17053031032.58252,-7595377590.578473
