date_time,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value,signed_dollar_imbalance
2015-09-04,1,1685.0227050781,1685.0227050781,1685.0227050781,1685.0227050781,615140.0,615140.0,1,1036524866.8017424,1036524866.8017424
2015-09-07,2,1616.9133300781,1616.9133300781,1616.9133300781,1616.9133300781,736180.0,0.0,1,1190339255.3368957,-1190339255.3368957
2015-09-08,3,1597.5673828125,1597.5673828125,1597.5673828125,1597.5673828125,1248080.0,0.0,1,1993891899.140625,-1993891899.140625
2015-09-09,4,1665.5238037109,1665.5238037109,1665.5238037109,1665.5238037109,1048270.0,1048270.0,1,1745918637.716025,1745918637.716025
2015-09-10,5,1714.6114501953,1714.6114501953,1714.6114501953,1714.6114501953,977380.0,977380.0,1,1675826939.1918824,1675826939.1918824
2015-09-11,6,1750.3139648438,1750.3139648438,1750.3139648438,1750.3139648438,906040.0,906040.0,1,1585854464.7070765,1585854464.7070765
2015-09-14,7,1746.0915527344,1746.0915527344,1746.0915527344,1746.0915527344,495720.0,0.0,1,865572504.5214968,-865572504.5214968
2015-09-15,8,1721.9716796875,1721.9716796875,1721.9716796875,1721.9716796875,860460.0,0.0,1,1481687751.5039062,-1481687751.5039062
2015-09-16,9,1662.7104492188,1662.7104492188,1662.7104492188,1662.7104492188,1147980.0,0.0,1,1908758341.494198,-1908758341.494198
2015-09-18,10,1690.2833251953,1690.2833251953,1690.2833251953,1690.2833251953,566930.0,566930.0,1,958272325.5529715,958272325.5529715
2015-09-21,11,1712.8828125,1712.8828125,1712.8828125,1712.8828125,331240.0,331240.0,1,567375302.8125,567375302.8125
2015-09-22,12,1699.5947265625,1699.5947265625,1699.5947265625,1699.5947265625,384670.0,0.0,1,653783103.4667969,-653783103.4667969
2015-09-23,13,1692.1323242188,1692.1323242188,1692.1323242188,1692.1323242188,376810.0,0.0,1,637612381.088886,-637612381.088886
2015-09-24,14,1647.8001708984,1647.8001708984,1647.8001708984,1647.8001708984,990070.0,0.0,1,1631437515.2013788,-1631437515.2013788
2015-09-28,15,1602.0446777344,1602.0446777344,1602.0446777344,1602.0446777344,524080.0,0.0,1,839599574.7070444,-839599574.7070444
2015-09-29,16,1616.6999511719,1616.6999511719,1616.6999511719,1616.6999511719,835400.0,835400.0,1,1350591139.2090054,1350591139.2090054
2015-09-30,17,1649.2322998047,1649.2322998047,1649.2322998047,1649.2322998047,921680.0,921680.0,1,1520064426.0839958,1520064426.0839958
2015-10-01,18,1695.0942382812,1695.0942382812,1695.0942382812,1695.0942382812,1104200.0,1104200.0,1,1871723057.910101,1871723057.910101
2015-10-05,19,1740.1822509766,1740.1822509766,1740.1822509766,1740.1822509766,702630.0,702630.0,1,1222704255.0036886,1222704255.0036886
2015-10-06,20,1726.9681396484,1726.9681396484,1726.9681396484,1726.9681396484,466230.0,0.0,1,805164355.7482735,-805164355.7482735
2015-10-07,21,1752.4645996094,1752.4645996094,1752.4645996094,1752.4645996094,574360.0,574360.0,1,1006545567.431655,1006545567.431655
2015-10-08,22,1730.3146972656,1730.3146972656,1730.3146972656,1730.3146972656,366520.0,0.0,1,634194942.8417877,-634194942.8417877
2015-10-09,23,1698.0466308594,1698.0466308594,1698.0466308594,1698.0466308594,634010.0,0.0,1,1076578544.4311683,-1076578544.4311683
2015-10-12,24,1666.9233398438,1666.9233398438,1666.9233398438,1666.9233398438,478200.0,0.0,1,797122741.1133052,-797122741.1133052
2015-10-13,25,1651.8972167969,1651.8972167969,1651.8972167969,1651.8972167969,672010.0,0.0,1,1110091448.6596847,-1110091448.6596847
2015-10-15,27,1685.2542724609,1697.3931884766,1685.2542724609,1697.3931884766,676540.0,676540.0,2,1144621549.6679711,1144621549.6679711
2015-10-16,28,1695.1127929688,1695.1127929688,1695.1127929688,1695.1127929688,367070.0,0.0,1,622225052.9150574,-622225052.9150574
2015-10-19,29,1690.9184570312,1690.9184570312,1690.9184570312,1690.9184570312,411100.0,0.0,1,695136577.6855263,-695136577.6855263
2015-10-20,30,1683.4886474609,1683.4886474609,1683.4886474609,1683.4886474609,473380.0,0.0,1,796929855.9350408,-796929855.9350408
2015-10-21,31,1688.0677490234,1688.0677490234,1688.0677490234,1688.0677490234,609590.0,609590.0,1,1029029219.1271744,1029029219.1271744
2015-10-23,32,1683.2568359375,1683.2568359375,1683.2568359375,1683.2568359375,572690.0,0.0,1,963984357.3730469,-963984357.3730469
2015-10-26,33,1662.5155029297,1662.5155029297,1662.5155029297,1662.5155029297,365660.0,0.0,1,607915418.8012741,-607915418.8012741
2015-10-27,34,1637.0100097656,1637.0100097656,1637.0100097656,1637.0100097656,692190.0,0.0,1,1133121958.6596506,-1133121958.6596506
2015-10-28,35,1612.2181396484,1612.2181396484,1612.2181396484,1612.2181396484,961090.0,0.0,1,1549486731.8346808,-1549486731.8346808
2015-10-29,36,1614.6652832031,1614.6652832031,1614.6652832031,1614.6652832031,612850.0,612850.0,1,989547618.8110198,989547618.8110198
2015-10-30,37,1644.6761474609,1644.6761474609,1644.6761474609,1644.6761474609,456200.0,456200.0,1,750301258.4716625,750301258.4716625
2015-11-02,38,1666.2747802734,1666.2747802734,1666.2747802734,1666.2747802734,524390.0,524390.0,1,873777832.0275682,873777832.0275682
