tradingsymbol,exchange,instrument_token,product,segment,quantity,overnight_quantity,multiplier,average_price,close_price,last_price,value,pnl,m2m,unrealised,realised,buy_quantity,buy_price,buy_value,buy_m2m,sell_quantity,sell_price,sell_value,sell_m2m,day_buy_quantity,day_buy_price,day_buy_value,day_sell_quantity,day_sell_price,day_sell_value
BANKNIFTY25SEP54200CE,NFO,13986050,NRML,,35,0,1,745.9,0.0,669.85,-28306.25,-4861.5,-4861.5,-4861.5,0,140,745.9,104426.0,104426.0,105,724.95,76119.75,76119.75,140,745.9,104426.0,105,724.95,76119.75
BANKNIFTY25SEP54400CE,NFO,13987074,NRML,,35,0,1,686.9833333333332,0.0,569.3,-26633.249999999985,-6707.749999999985,-6707.749999999985,-6707.749999999985,0,105,686.9833333333332,72133.24999999999,72133.24999999999,70,650.0,45500.0,45500.0,105,686.9833333333332,72133.24999999999,70,650.0,45500.0
BANKNIFTY25SEP54700CE,NFO,13990658,NRML,,-70,0,1,499.65,0.0,432.85,35056.0,4756.5,4756.5,4756.5,0,35,497.35,17407.25,17407.25,105,499.65,52463.25,52463.25,35,497.35,17407.25,105,499.65,52463.25
BEL25SEP370CE,NFO,18626562,NRML,,2850,2850,1,9.5,14.95,10.7,-27075.0,3419.9999999999964,-12112.500000000004,3419.9999999999964,0,2850,9.5,27075.0,42607.5,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
BEL25SEP385CE,NFO,17610242,NRML,,-5700,-5700,1,4.325,6.6,4.15,24652.5,997.4999999999964,13964.999999999996,997.4999999999964,0,0,0.0,0.0,0.0,5700,4.325,24652.5,37620.0,0,0.0,0.0,0,0.0,0.0
BEL25SEP400CE,NFO,18629378,NRML,,2850,2850,1,1.65,2.4,1.4,-4702.5,-712.5000000000005,-2850.0000000000005,-712.5000000000005,0,2850,1.65,4702.5,6840.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
MARUTI25SEP14000PE,NFO,28658434,NRML,,50,50,1,65.65,61.95,74.25,-3282.5000000000005,429.99999999999955,615.0,429.99999999999955,0,50,65.65,3282.5000000000005,3097.5,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
MARUTI25SEP14500PE,NFO,27645954,NRML,,-100,-100,1,156.65,142.0,186.5,15665.0,-2985.0,-4450.0,-2985.0,0,0,0.0,0.0,0.0,100,156.65,15665.0,14200.0,0,0.0,0.0,0,0.0,0.0
MARUTI25SEP15000PE,NFO,28662018,NRML,,50,50,1,341.95,320.15,425.3,-17097.5,4167.5,5257.500000000002,4167.5,0,50,341.95,17097.5,16007.499999999998,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
TATAMOTORS25SEP690CE,NFO,32745986,NRML,,800,800,1,26.35,21.85,18.15,-21080.0,-6560.000000000002,-2960.000000000002,-6560.000000000002,0,800,26.35,21080.0,17480.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
TATAMOTORS25SEP720CE,NFO,35718914,NRML,,-800,-800,1,13.7,9.25,7.4,10960.0,5040.0,1480.0,5040.0,0,0,0.0,0.0,0.0,800,13.7,10960.0,7400.0,0,0.0,0.0,0,0.0,0.0
