Symbol,Target_Period,Target_Return,Opportunity_Prob,NaiveBayes_CV_Accuracy
NIFTY,2,0.01,1.25611764031806e-255,0.9981215250913147
BANKNIFTY,2,0.01,0.0,0.9981215250913147
RELIANCE,2,0.01,7.948042569864395e-35,0.9981215250913147
ETERNAL,2,0.01,,0.9981215250913147
INFY,2,0.01,3.0815838002996383e-34,0.9981215250913147
HDFCBANK,2,0.01,3.7329680978827882e-34,0.9981215250913147
ICICIBANK,2,0.01,6.199893549462543e-35,0.9981215250913147
M&M,2,0.01,1.2493758324431424e-36,0.9981215250913147
KOTAKBANK,2,0.01,4.46442245933448e-35,0.9981215250913147
ITC,2,0.01,1.0914473810556975e-34,0.9981215250913147
BEL,2,0.01,6.876051598590074e-35,0.9981215250913147
SBIN,2,0.01,6.668472840053466e-35,0.9981215250913147
TRENT,2,0.01,6.883924648895022e-42,0.9981215250913147
HINDUNILVR,2,0.01,3.836829657953321e-35,0.9981215250913147
MARUTI,2,0.01,4.6252350294787424e-155,0.9981215250913147
JIOFIN,2,0.01,,0.9981215250913147
AXISBANK,2,0.01,5.117878704571825e-35,0.9981215250913147
NIFTY,2,0.015,6.334239214851328e-200,0.9967828418230564
BANKNIFTY,2,0.015,0.0,0.9967828418230564
RELIANCE,2,0.015,2.4439703513807364e-36,0.9967828418230564
ETERNAL,2,0.015,,0.9967828418230564
INFY,2,0.015,1.1015149931430968e-35,0.9967828418230564
HDFCBANK,2,0.015,9.708723325415764e-36,0.9967828418230564
ICICIBANK,2,0.015,1.523803528926106e-36,0.9967828418230564
M&M,2,0.015,2.1410985041897167e-36,0.9967828418230564
KOTAKBANK,2,0.015,1.867092030031e-36,0.9967828418230564
ITC,2,0.015,1.6622447233324543e-36,0.9967828418230564
BEL,2,0.015,1.1322105355834295e-36,0.9967828418230564
SBIN,2,0.015,1.0959021725642752e-36,0.9967828418230564
TRENT,2,0.015,1.6795281725519383e-40,0.9967828418230564
HINDUNILVR,2,0.015,2.87002623415933e-36,0.9967828418230564
MARUTI,2,0.015,1.0390500927116948e-74,0.9967828418230564
JIOFIN,2,0.015,,0.9967828418230564
AXISBANK,2,0.015,1.1252745218681698e-36,0.9967828418230564
NIFTY,2,0.02,8.099440437555028e-178,0.9973190348525469
BANKNIFTY,2,0.02,0.0,0.9973190348525469
RELIANCE,2,0.02,2.5153142276345978e-36,0.9973190348525469
ETERNAL,2,0.02,,0.9973190348525469
INFY,2,0.02,9.179639304124063e-36,0.9973190348525469
HDFCBANK,2,0.02,7.31201522592238e-36,0.9973190348525469
ICICIBANK,2,0.02,1.3238363500516974e-36,0.9973190348525469
M&M,2,0.02,6.95605059513181e-36,0.9973190348525469
KOTAKBANK,2,0.02,1.746287448789467e-36,0.9973190348525469
ITC,2,0.02,7.898035871128913e-37,0.9973190348525469
BEL,2,0.02,7.774913396219671e-37,0.9973190348525469
SBIN,2,0.02,7.636368282910785e-37,0.9973190348525469
TRENT,2,0.02,6.8909292259414536e-40,0.9973190348525469
HINDUNILVR,2,0.02,1.1919790295083637e-36,0.9973190348525469
MARUTI,2,0.02,2.3874380283570684e-72,0.9973190348525469
JIOFIN,2,0.02,,0.9973190348525469
AXISBANK,2,0.02,1.1946081662208658e-36,0.9973190348525469
NIFTY,3,0.01,7.77867273659192e-254,0.9989268942188314
BANKNIFTY,3,0.01,0.0,0.9989268942188314
RELIANCE,3,0.01,4.379386121250242e-34,0.9989268942188314
ETERNAL,3,0.01,,0.9989268942188314
INFY,3,0.01,1.479649477531997e-33,0.9989268942188314
HDFCBANK,3,0.01,1.226343512421517e-33,0.9989268942188314
ICICIBANK,3,0.01,2.714532462478091e-34,0.9989268942188314
M&M,3,0.01,1.9622087181289095e-35,0.9989268942188314
KOTAKBANK,3,0.01,2.3439202396166564e-34,0.9989268942188314
ITC,3,0.01,5.0205185109106754e-34,0.9989268942188314
BEL,3,0.01,3.413787774258596e-34,0.9989268942188314
SBIN,3,0.01,3.255387990485593e-34,0.9989268942188314
TRENT,3,0.01,8.410158184172014e-41,0.9989268942188314
HINDUNILVR,3,0.01,1.575067170179584e-34,0.9989268942188314
MARUTI,3,0.01,2.5151436132901425e-165,0.9989268942188314
JIOFIN,3,0.01,,0.9989268942188314
AXISBANK,3,0.01,2.6490163231478493e-34,0.9989268942188314
NIFTY,3,0.015,9.825008553924315e-197,0.9965147453083109
BANKNIFTY,3,0.015,0.0,0.9965147453083109
RELIANCE,3,0.015,1.3516579017909136e-35,0.9965147453083109
ETERNAL,3,0.015,,0.9965147453083109
INFY,3,0.015,4.816160954302938e-35,0.9965147453083109
HDFCBANK,3,0.015,3.5096308567718433e-35,0.9965147453083109
ICICIBANK,3,0.015,6.943703046592205e-36,0.9965147453083109
M&M,3,0.015,2.566280292241635e-35,0.9965147453083109
KOTAKBANK,3,0.015,1.0153037542861e-35,0.9965147453083109
ITC,3,0.015,8.333469185179058e-36,0.9965147453083109
BEL,3,0.015,5.805395102790896e-36,0.9965147453083109
SBIN,3,0.015,5.370283084650063e-36,0.9965147453083109
TRENT,3,0.015,1.918515475617637e-39,0.9965147453083109
HINDUNILVR,3,0.015,1.3370008258974411e-35,0.9965147453083109
MARUTI,3,0.015,1.332411495565433e-81,0.9965147453083109
JIOFIN,3,0.015,,0.9965147453083109
AXISBANK,3,0.015,6.514036434371008e-36,0.9965147453083109
NIFTY,3,0.02,7.005688224595387e-176,0.9967824819619627
BANKNIFTY,3,0.02,0.0,0.9967824819619627
RELIANCE,3,0.02,2.855887589539663e-36,0.9967824819619627
ETERNAL,3,0.02,,0.9967824819619627
INFY,3,0.02,1.0102737943841352e-35,0.9967824819619627
HDFCBANK,3,0.02,5.589121469191629e-36,0.9967824819619627
ICICIBANK,3,0.02,1.2286549566367284e-36,0.9967824819619627
M&M,3,0.02,2.1435565375272074e-35,0.9967824819619627
KOTAKBANK,3,0.02,2.2109455962052278e-36,0.9967824819619627
ITC,3,0.02,8.528011449275171e-37,0.9967824819619627
BEL,3,0.02,9.221070714828524e-37,0.9967824819619627
SBIN,3,0.02,7.663644629738613e-37,0.9967824819619627
TRENT,3,0.02,2.0171297987976535e-39,0.9967824819619627
HINDUNILVR,3,0.02,1.4600071753750688e-36,0.9967824819619627
MARUTI,3,0.02,4.7364464441992075e-68,0.9967824819619627
JIOFIN,3,0.02,,0.9967824819619627
AXISBANK,3,0.02,1.3737529711327307e-36,0.9967824819619627
NIFTY,5,0.01,3.1314817497602e-255,0.9983910610504345
BANKNIFTY,5,0.01,0.0,0.9983910610504345
RELIANCE,5,0.01,1.2517401213391997e-36,0.9983910610504345
ETERNAL,5,0.01,,0.9983910610504345
INFY,5,0.01,4.379742016554538e-36,0.9983910610504345
HDFCBANK,5,0.01,2.730276191482961e-36,0.9983910610504345
ICICIBANK,5,0.01,7.742610872133386e-37,0.9983910610504345
M&M,5,0.01,1.0159351461144229e-37,0.9983910610504345
KOTAKBANK,5,0.01,7.417699423075662e-37,0.9983910610504345
ITC,5,0.01,8.619090356255808e-37,0.9983910610504345
BEL,5,0.01,8.2074208265555e-37,0.9983910610504345
SBIN,5,0.01,8.997209434443066e-37,0.9983910610504345
TRENT,5,0.01,1.6483366729674862e-43,0.9983910610504345
HINDUNILVR,5,0.01,2.716719526860577e-37,0.9983910610504345
MARUTI,5,0.01,1.1277480746148882e-164,0.9983910610504345
JIOFIN,5,0.01,,0.9983910610504345
AXISBANK,5,0.01,7.214853247620019e-37,0.9983910610504345
NIFTY,5,0.015,8.700047571504989e-210,0.9973186749914532
BANKNIFTY,5,0.015,0.0,0.9973186749914532
RELIANCE,5,0.015,4.0725942717112943e-51,0.9973186749914532
ETERNAL,5,0.015,,0.9973186749914532
INFY,5,0.015,1.6652667164714187e-50,0.9973186749914532
HDFCBANK,5,0.015,7.974627826137543e-51,0.9973186749914532
ICICIBANK,5,0.015,2.3023534307662475e-51,0.9973186749914532
M&M,5,0.015,2.3343258579886803e-50,0.9973186749914532
KOTAKBANK,5,0.015,3.508395944184615e-51,0.9973186749914532
ITC,5,0.015,1.609244324774279e-51,0.9973186749914532
BEL,5,0.015,1.426428852158698e-51,0.9973186749914532
SBIN,5,0.015,1.745727330387171e-51,0.9973186749914532
TRENT,5,0.015,6.828039810299678e-55,0.9973186749914532
HINDUNILVR,5,0.015,2.5776921365948372e-51,0.9973186749914532
MARUTI,5,0.015,2.1555877691852872e-101,0.9973186749914532
JIOFIN,5,0.015,,0.9973186749914532
AXISBANK,5,0.015,2.0863112756584555e-51,0.9973186749914532
NIFTY,5,0.02,9.1629519601347e-192,0.9978545081598504
BANKNIFTY,5,0.02,0.0,0.9978545081598504
RELIANCE,5,0.02,1.3011323475179775e-49,0.9978545081598504
ETERNAL,5,0.02,,0.9978545081598504
INFY,5,0.02,4.555852051062656e-49,0.9978545081598504
HDFCBANK,5,0.02,1.6793771304419224e-49,0.9978545081598504
ICICIBANK,5,0.02,5.423667879605576e-50,0.9978545081598504
M&M,5,0.02,4.611051874681891e-49,0.9978545081598504
KOTAKBANK,5,0.02,1.1794791732998577e-49,0.9978545081598504
ITC,5,0.02,3.7974369991723056e-50,0.9978545081598504
BEL,5,0.02,4.574131232630039e-50,0.9978545081598504
SBIN,5,0.02,4.0922600243473927e-50,0.9978545081598504
TRENT,5,0.02,6.155715203402816e-53,0.9978545081598504
HINDUNILVR,5,0.02,6.032628583155865e-50,0.9978545081598504
MARUTI,5,0.02,1.6840744867314215e-86,0.9978545081598504
JIOFIN,5,0.02,,0.9978545081598504
AXISBANK,5,0.02,6.376659222262985e-50,0.9978545081598504
NIFTY,7,0.01,2.1705173881293864e-260,0.9983910610504345
BANKNIFTY,7,0.01,0.0,0.9983910610504345
RELIANCE,7,0.01,7.010628879310098e-34,0.9983910610504345
ETERNAL,7,0.01,,0.9983910610504345
INFY,7,0.01,2.274559099349904e-33,0.9983910610504345
HDFCBANK,7,0.01,7.98033150646102e-34,0.9983910610504345
ICICIBANK,7,0.01,3.1041027952955807e-34,0.9983910610504345
M&M,7,0.01,1.7073488425014272e-35,0.9983910610504345
KOTAKBANK,7,0.01,4.645409891574787e-34,0.9983910610504345
ITC,7,0.01,4.995121326225681e-34,0.9983910610504345
BEL,7,0.01,5.953839590934634e-34,0.9983910610504345
SBIN,7,0.01,4.7132254713701665e-34,0.9983910610504345
TRENT,7,0.01,7.276986192957605e-41,0.9983910610504345
HINDUNILVR,7,0.01,1.6807520124745419e-34,0.9983910610504345
MARUTI,7,0.01,3.4488631608988037e-171,0.9983910610504345
JIOFIN,7,0.01,,0.9983910610504345
AXISBANK,7,0.01,4.574677502123263e-34,0.9983910610504345
NIFTY,7,0.015,2.6683345130995543e-201,0.9967824819619627
BANKNIFTY,7,0.015,0.0,0.9967824819619627
RELIANCE,7,0.015,1.5083773466687447e-35,0.9967824819619627
ETERNAL,7,0.015,,0.9967824819619627
INFY,7,0.015,6.41874723813548e-35,0.9967824819619627
HDFCBANK,7,0.015,1.673546962888366e-35,0.9967824819619627
ICICIBANK,7,0.015,6.2372893230184e-36,0.9967824819619627
M&M,7,0.015,1.7871034634329472e-35,0.9967824819619627
KOTAKBANK,7,0.015,1.5275349784824395e-35,0.9967824819619627
ITC,7,0.015,6.612047006700363e-36,0.9967824819619627
BEL,7,0.015,7.547882960146676e-36,0.9967824819619627
SBIN,7,0.015,6.070789398230115e-36,0.9967824819619627
TRENT,7,0.015,2.0078724568723033e-39,0.9967824819619627
HINDUNILVR,7,0.015,1.1751868732366586e-35,0.9967824819619627
MARUTI,7,0.015,2.9060952286628977e-92,0.9967824819619627
JIOFIN,7,0.015,,0.9967824819619627
AXISBANK,7,0.015,8.537943137841857e-36,0.9967824819619627
NIFTY,7,0.02,6.774018480213343e-182,0.9975856919229177
BANKNIFTY,7,0.02,0.0,0.9975856919229177
RELIANCE,7,0.02,6.33064525356503e-36,0.9975856919229177
ETERNAL,7,0.02,,0.9975856919229177
INFY,7,0.02,2.1403608671366946e-35,0.9975856919229177
HDFCBANK,7,0.02,6.804661350243635e-36,0.9975856919229177
ICICIBANK,7,0.02,3.194534412831575e-36,0.9975856919229177
M&M,7,0.02,5.88886774081815e-36,0.9975856919229177
KOTAKBANK,7,0.02,6.567890214270859e-36,0.9975856919229177
ITC,7,0.02,2.4900019061780922e-36,0.9975856919229177
BEL,7,0.02,3.035674563159234e-36,0.9975856919229177
SBIN,7,0.02,2.4466005580404152e-36,0.9975856919229177
TRENT,7,0.02,1.8902032643973522e-39,0.9975856919229177
HINDUNILVR,7,0.02,3.46933378086997e-36,0.9975856919229177
MARUTI,7,0.02,1.1041683309257084e-71,0.9975856919229177
JIOFIN,7,0.02,,0.9975856919229177
AXISBANK,7,0.02,3.959593687811265e-36,0.9975856919229177
