,ret,bin
2015-08-12,0.0048481453364652705,1
2015-09-02,-0.012942196966169162,-1
2015-09-10,0.01828766371509727,1
2015-10-06,-0.05341860151527522,-1
2015-10-16,0.03866410295849798,1
2015-10-28,-0.019364680268767587,-1
2015-12-01,-0.020158785960250225,-1
2015-12-15,-0.036512842179107774,-1
2016-01-07,-0.019506109063303634,-1
2016-01-21,-0.0052861866273808955,-1
2016-01-29,-0.020565531947996596,-1
2016-02-05,-0.05012136456991445,-1
2016-02-11,0.01245933935845045,1
2016-02-22,-0.028782103504652268,-1
2016-03-21,-0.011538569737077897,-1
2016-04-13,-0.015094242157254634,-1
2016-05-02,-0.012211461133082357,-1
2016-05-18,0.030102988541822917,1
2016-05-26,0.02099129531199706,1
2016-06-07,-0.01961987470899218,-1
2016-06-30,0.02197984199016223,1
2016-07-11,0.01301890559695873,1
2016-07-19,0.03060946521411978,1
2016-08-09,0.0014987143260190017,1
2016-09-08,-0.034785128673532895,-1
2016-09-14,-0.017447355506498896,-1
2016-09-30,0.019127771548606898,1
2016-10-14,0.008311186462045983,1
2016-11-11,-0.004988991707633561,-1
2016-11-28,0.006146746156501237,1
2016-12-19,-0.02803329927460496,-1
2016-12-30,0.005687697336308473,1
2017-01-18,-0.013180133557286866,-1
2017-03-14,-0.014828913573125213,-1
2017-04-26,0.014340869079454421,1
2017-05-10,-0.013147749038295853,-1
2017-05-22,0.01909491321203083,1
2017-05-29,0.02154346781717864,1
2017-06-07,-0.009671490290449003,-1
2017-07-12,0.018822303960998932,1
2017-07-27,-0.015402342279178916,-1
2017-08-04,-0.01795173815322093,-1
2017-08-11,0.029102975731451153,1
2017-08-18,-0.008942085593775406,-1
2017-08-31,-0.011928929793584953,-1
2017-09-12,0.02420389865422723,1
2017-09-22,-0.026871835443720515,-1
2017-09-27,-0.01621221214348534,-1
2017-10-09,0.05003091975483276,1
2017-10-13,0.0010809701991942866,1
2017-10-30,0.025915809472583318,1
2017-11-10,-0.01251330706161402,-1
2017-12-01,0.06089547955924135,1
2017-12-07,0.024846348839643984,1
2017-12-18,0.017082983113391847,1
2018-01-08,-0.008367619993940312,-1
2018-01-29,-0.017962978990646916,-1
2018-02-05,-0.02242332447613138,-1
2018-02-07,0.017712494372245757,1
2018-02-14,-0.013042849421921132,-1
2018-02-28,-0.01863027902075709,-1
2018-03-27,0.013880543839903892,1
2018-04-05,0.022102336402748612,1
2018-04-12,0.03896668824351912,1
2018-04-18,0.00599790552026902,1
2018-04-26,-0.011601242809924583,-1
2018-05-02,0.021841930678409893,1
2018-05-07,0.00413915133906273,1
2018-05-16,0.020138341521859893,1
2018-05-23,0.027644640601234283,1
2018-05-31,-0.02994206031912572,-1
2018-06-04,0.0481386049211725,1
2018-06-07,0.02208291049115374,1
2018-06-12,-0.022856816135322533,-1
2018-06-19,0.012768744075936755,1
2018-06-29,0.0014012941967704862,1
2018-07-05,0.03219796076170223,1
2018-07-11,-0.01658758436007468,-1
2018-07-17,-0.013498197055635264,-1
2018-07-18,0.0022510283652241725,1
2018-07-23,-0.018139787612335367,-1
2018-07-25,0.003660218438791274,1
2018-07-31,0.01472577512261708,1
2018-08-17,0.004230239391097568,1
2018-08-27,-0.011772644458606485,-1
2018-08-29,-0.03232057071219718,-1
2018-09-03,-0.05226301901260866,-1
2018-09-04,-0.036670366877398664,-1
2018-09-05,-0.0038779657425718206,-1
2018-09-11,0.024298261633772578,1
2018-09-12,-0.022374306521280918,-1
2018-09-18,-0.02621705753061554,-1
2018-09-21,-0.019027848939242697,-1
2018-09-25,-0.006591787371730273,-1
2018-10-04,-0.009784116891212613,-1
2018-10-09,0.010049933751783868,1
2018-10-12,0.009747839308016149,1
2018-10-15,0.03413476871551935,1
2018-10-19,-0.016694136555323036,-1
2018-10-30,0.028498767070738618,1
2018-11-02,0.00967394128884247,1
2018-11-09,0.01721866752580481,1
2018-11-14,-0.023549759756144484,-1
2018-11-22,0.034087380765368325,1
2018-11-26,-0.006766043331708382,-1
2018-11-29,0.018659951200786118,1
2018-12-03,0.012324792224978731,1
2018-12-05,-0.02521504745249903,-1
2018-12-06,0.020871334962362154,1
2018-12-12,0.0030993145436932767,1
2018-12-21,0.00895476727724942,1
2018-12-28,-0.01149801482359536,-1
2019-01-02,0.002129158066886294,1
2019-01-17,-0.004853126349738779,-1
2019-02-01,0.0018340461311319167,1
2019-02-07,-0.01862380421145826,-1
2019-02-12,-0.014460796959474664,-1
2019-02-18,0.010417308797222802,1
2019-02-25,-0.03974219848580873,-1
2019-02-28,-0.0046461545950508,-1
2019-03-13,-0.028639485051290325,-1
2019-03-15,0.0007358984757823706,1
2019-04-05,0.03794236155957753,1
2019-04-11,0.006811321810416215,1
2019-04-24,-0.0029953142639167485,-1
2019-05-03,-0.014555246255144705,-1
2019-05-17,0.020555123033242806,1
2019-05-21,-0.019969188715904584,-1
2019-05-31,0.028627300960052393,1
2019-06-03,0.003152671560560538,1
2019-06-10,-0.018571618898935438,-1
2019-06-18,0.004695068874282393,1
2019-06-21,-0.0031981002966807726,-1
2019-07-04,-0.0012265601064053167,-1
2019-07-08,0.004077480548308365,1
2019-07-12,0.015146987509760734,1
2019-07-17,-0.012239547309538357,-1
2019-07-19,-0.023076123266859705,-1
2019-07-22,0.0193967714657437,1
