,ret,bin
2015-06-02,-0.042441294474268365,-1
2015-06-08,0.012355392900935236,1
2015-06-22,0.00695490933080567,1
2015-07-07,-0.006595881914667867,-1
2015-07-27,0.04488282169342539,1
2015-07-31,0.04702842645797545,1
2015-08-04,-0.06860716700817948,-1
2015-08-11,-0.046316757357542815,-1
2015-08-12,0.047395954991693356,1
2015-08-14,0.007635130136497192,1
2015-08-18,-0.05003497450756622,-1
2015-08-20,-0.09295885766980816,-1
2015-08-24,0.016503835537085454,1
2015-09-01,-0.058344013300316355,-1
2015-09-04,-0.017987817354323976,-1
2015-09-14,0.016153064295586717,1
2015-09-21,-0.03302757934572009,-1
2015-10-15,0.03153229288915882,1
2015-10-28,-0.03367088284059361,-1
2015-11-09,-0.020723389008245663,-1
2015-12-07,-0.02807472548601686,-1
2015-12-11,0.01385829477265399,1
2016-01-05,-0.03765783671321388,-1
2016-01-11,-0.09789525754851325,-1
2016-01-15,-0.01790564256668692,-1
2016-01-28,-0.08556004939970374,-1
2016-02-01,-0.019392087858821183,-1
2016-02-10,-0.02987419945960612,-1
2016-02-15,-0.053023732702451976,-1
2016-02-16,0.05306920782907221,1
2016-02-25,0.2826086544942865,1
2016-03-02,0.012420594639709348,1
2016-03-21,-0.012957298674881934,-1
2016-04-05,0.013018770960830262,1
2016-04-21,-0.011834305115182464,-1
2016-04-29,-0.04788352608881674,-1
2016-05-16,-0.047511421032603196,-1
2016-05-23,0.0397862233371864,1
2016-05-26,0.0890578574909795,1
2016-05-27,0.028649827928397986,1
2016-06-07,0.02783736247670654,1
2016-06-15,0.005091328568733955,1
2016-07-04,0.016592004554106587,1
2016-07-14,-0.03663792824452061,-1
2016-08-09,-0.03402080334661017,-1
2016-08-12,0.04726670489537543,1
2016-08-19,-0.014313411153398126,-1
2016-08-26,0.03244123555626377,1
2016-09-06,-0.02825845599384691,-1
2016-09-12,0.020375846176748258,1
2016-10-04,-0.03888361799039208,-1
2016-10-13,0.014219800510578695,1
2016-10-24,-0.02871272118604906,-1
2016-11-02,0.03565032378061517,1
2016-11-09,0.05000003850693013,1
2016-11-10,-0.06274433387442346,-1
2016-11-21,0.017097246306271296,1
2016-12-09,-0.019876138571214286,-1
2016-12-20,-0.018660339899637224,-1
2016-12-26,0.024569876995527817,1
2017-01-16,0.041837782072889906,1
2017-01-27,0.025708456424526016,1
2017-02-02,0.013720974632781768,1
2017-03-03,0.030937537989704333,1
2017-03-15,-0.035514605033264424,-1
2017-03-22,0.03364487858498677,1
2017-03-27,0.032206138681768026,1
2017-03-30,0.008074238458526839,1
2017-04-19,0.020066867627521523,1
2017-05-04,0.007858241198810179,1
2017-05-16,-0.01479665105001926,-1
2017-05-22,-0.03788648512589221,-1
2017-05-24,0.024545183997965125,1
2017-06-22,-0.01884545095097978,-1
2017-06-27,-0.02574633260073511,-1
2017-07-10,0.01120646151174487,1
2017-07-25,0.007598890799332292,1
2017-07-31,-0.02832012046644461,-1
2017-08-03,0.005822629662689538,1
2017-08-10,-0.055780375139566574,-1
2017-08-11,0.010530196752181586,1
2017-09-08,-0.0031272093189281813,-1
2017-09-22,-0.04372734477451057,-1
2017-09-27,0.0035943789638510637,1
2017-10-18,0.009025604341453386,1
2017-10-24,0.27687156952192615,1
2017-10-25,-0.015543076231635089,-1
2017-10-27,-0.016878130192273022,-1
2017-11-01,0.03501636360783977,1
2017-11-06,-0.03586608258720536,-1
2017-11-07,-0.02411736087567473,-1
2017-11-10,-0.001648772899800366,-1
2017-11-17,-0.005481498961047215,-1
2017-11-30,-0.024816724564795778,-1
2017-12-28,-0.008430769488085965,-1
2018-01-16,0.04423433478516614,1
2018-01-19,0.012611289928261327,1
2018-01-23,-0.06523093257938295,-1
2018-01-24,-0.07229468264638284,-1
2018-01-25,-0.050455035512517066,-1
2018-02-02,0.0023539160564518546,1
2018-02-12,-0.04346308921007991,-1
2018-02-14,-0.023714812507551697,-1
2018-02-27,-0.015321390659351786,-1
2018-03-06,-0.014422057674085886,-1
2018-03-22,-0.027944503686090916,-1
2018-03-26,0.051926991159188196,1
2018-04-05,-0.021210865621315245,-1
2018-04-13,-0.0388523776503652,-1
2018-04-25,0.03878585801678702,1
2018-04-30,-0.018263039146032334,-1
2018-05-14,-0.04140384213452675,-1
2018-05-18,0.11764709140494767,1
2018-05-22,0.03662867650965551,1
2018-05-24,-0.02048414976012114,-1
2018-06-12,-0.036238210981864416,-1
2018-06-19,-0.039985409269069905,-1
2018-06-27,-0.017959468827755787,-1
2018-07-16,0.02961028605269944,1
2018-07-23,0.07659085541412947,1
2018-07-26,0.0337157779436692,1
2018-08-03,0.030910708745810256,1
2018-08-09,-0.0732513050483421,-1
2018-08-10,-0.0077187717708770975,-1
2018-08-16,0.051076197684113644,1
2018-08-20,0.0011376077512330607,1
2018-09-04,-0.046558708745385924,-1
2018-09-10,-0.007898888652240421,-1
2018-09-18,-0.011687321170756992,-1
2018-10-05,0.07857554162760261,1
2018-10-10,-0.059214121444339796,-1
2018-10-11,0.006103385627445057,1
2018-10-23,-0.02953261406243446,-1
2018-10-29,0.0572972324337202,1
2018-10-31,0.01403713154644981,1
2018-11-05,-0.05763690538115662,-1
2018-11-09,0.017299403354968268,1
2018-11-16,-0.028188409339788834,-1
2018-12-06,0.03482670755069095,1
2018-12-12,0.05416317185834951,1
2018-12-19,-0.029265146468057446,-1
2019-01-08,-0.025876071751232743,-1
2019-01-21,-0.019832522749602233,-1
2019-01-29,0.013542386272413554,1
2019-01-31,-0.044781221346223754,-1
2019-02-11,-0.047771692729100534,-1
2019-02-14,-0.01572457936241589,-1
2019-03-01,0.012822919152019718,1
2019-03-11,-0.0015662633687112404,-1
2019-03-15,0.015583060499694268,1
2019-03-27,0.045174951227616944,1
2019-04-01,-0.024322203380622964,-1
2019-04-05,-0.004573350264710951,-1
2019-04-23,0.018018271809057573,1
2019-05-08,0.032858267146127274,1
2019-05-14,0.09550303858965958,1
2019-05-20,-0.007252688586819489,-1
2019-05-24,0.0002814538395357058,1
2019-05-29,-0.03370141988433539,-1
2019-06-06,0.002820044245359643,1
2019-06-21,0.02504309320727316,1
2019-06-27,-0.018914841841206287,-1
2019-07-08,0.04812840347402103,1
2019-07-17,-0.023496213807552513,-1
2019-07-19,-0.014466086299162906,-1
2019-07-23,-0.07320287842922235,-1
2019-07-30,-0.0833460306555287,-1
2019-08-01,-0.05328706328665833,-1
2019-08-05,-0.0196501917996732,-1
2019-08-07,0.0034495135018184353,1
2019-08-21,-0.012797250525803272,-1
2019-08-26,-0.042112974620287846,-1
2019-08-29,-0.02222245917954646,-1
