,ret,bin
2015-07-10,0.02885669099292887,1
2015-08-11,0.02591987938809104,1
2015-08-18,-0.019719681021595936,-1
2015-08-24,-0.001550673838686567,-1
2015-10-05,-0.08994537394863888,-1
2015-10-14,0.01733299848394676,1
2015-11-13,-0.019166739347236894,-1
2015-12-28,-0.03780390870316297,-1
2016-01-12,-0.02056261712130325,-1
2016-01-29,0.0028435052786059956,1
2016-02-09,-0.03657825020763106,-1
2016-02-29,0.045869945844758675,1
2016-03-02,0.01655999860361912,1
2016-03-22,0.019085197413727384,1
2016-05-12,-0.029128397747005486,-1
2016-05-30,-0.0254134016130948,-1
2016-06-22,-0.035124479240097206,-1
2016-06-27,0.02293768181295386,1
2016-07-25,0.03636265408597383,1
2016-08-01,-0.020769448311260486,-1
2016-08-19,-0.02104897831925623,-1
2016-09-07,-0.04853399766389377,-1
2016-11-02,-0.0582453431998623,-1
2016-11-09,-0.031661451881873526,-1
2016-11-25,-0.03412510477268904,-1
2016-12-07,0.024900969837699183,1
2016-12-16,0.024817752089758338,1
2017-01-13,0.020361920438070502,1
2017-01-31,-0.027760117483971447,-1
2017-02-09,0.0348032131666236,1
2017-02-16,0.01719944926685546,1
2017-03-10,-0.02448641921444039,-1
2017-03-24,-0.006385572800042483,-1
2017-04-17,-0.005270311628208679,-1
2017-05-16,0.044068893523817154,1
2017-05-24,0.02557486985423152,1
2017-06-06,-0.029951351324599362,-1
2017-06-08,-0.03309066652829218,-1
2017-06-23,0.005039111306243349,1
2017-07-11,-0.03164597146556081,-1
2017-07-24,-0.02248386573923722,-1
2017-09-29,0.007450969478574043,1
2017-10-13,0.011451156144235641,1
2017-11-06,0.016694231220757638,1
2017-12-01,-0.010817816656518486,-1
2017-12-29,-0.020583278611437716,-1
2018-01-10,-0.021556166100015983,-1
2018-01-17,0.024351613541882866,1
2018-01-22,0.011696925907576983,1
2018-02-06,-0.008524268328729101,-1
2018-02-21,0.020888738885301628,1
2018-03-13,-0.02116532882638056,-1
2018-04-05,0.0612924802106416,1
2018-04-12,0.08384149478475944,1
2018-04-20,0.04020629300905054,1
2018-04-26,-0.02466616496356977,-1
2018-05-21,-0.015379106722807845,-1
2018-06-05,0.034502694458709016,1
2018-06-13,-0.002658711935084046,-1
2018-06-26,-0.005021750275391423,-1
2018-07-06,-0.01978634068810292,-1
2018-07-11,0.0150466541646892,1
2018-07-27,0.01636034908592432,1
2018-08-14,0.01968997099964165,1
2018-08-28,0.00514716622373923,1
2018-09-24,-0.006936755676243855,-1
2018-10-01,-0.08456924851667913,-1
2018-10-03,-0.04533370718828289,-1
2018-10-04,0.01833104482318726,1
2018-10-11,-0.031137000797584635,-1
2018-10-12,-0.007975720507413464,-1
2018-10-23,-0.024164365926455655,-1
2018-10-29,0.02041689504882771,1
2018-10-31,-0.012744148332995753,-1
2018-11-14,-0.03621056759815078,-1
2018-11-21,0.04318422963087065,1
2018-11-27,0.049543651749577755,1
2018-11-28,-0.004082694107728546,-1
2018-12-20,-0.02980988332807033,-1
2018-12-26,0.004605297661962604,1
2019-01-11,0.03028966364365293,1
2019-01-17,0.03204369890764669,1
2019-01-28,0.03023007880579076,1
2019-02-01,0.010000143007240725,1
2019-02-18,0.007536876522026725,1
2019-02-19,0.04218290466822494,1
2019-02-25,0.007278947603006847,1
2019-02-27,-0.0362712896218802,-1
2019-02-28,0.002344445065879608,1
2019-03-27,0.03239532354342334,1
2019-04-01,-0.005980499921397042,-1
2019-04-04,0.027922693973729595,1
2019-04-09,-0.024503811265884412,-1
2019-04-11,0.046447162092755345,1
2019-04-15,0.019756085437963478,1
2019-04-24,0.02523536319003017,1
2019-04-30,-0.019886535842668862,-1
2019-05-03,0.012124673679713371,1
2019-05-14,0.024660945925084388,1
2019-05-22,0.031007686660279754,1
2019-05-30,0.044728062919762834,1
2019-06-03,0.013397665979804296,1
2019-06-10,0.02081550502517482,1
2019-07-05,-0.02538019354747878,-1
2019-07-10,0.003143968068469727,1
2019-07-18,0.005324413985951626,1
2019-07-25,0.024084853446631804,1
2019-07-30,0.03187010521293643,1
2019-08-05,0.004224694545079455,1
2019-08-16,0.023509429586309194,1
2019-08-23,0.0017354820559698503,1
2019-09-05,-0.027671245252384957,-1
2019-09-11,-0.024164350003148094,-1
2019-09-20,-0.024038301301369303,-1
2019-09-25,-0.013646511193355026,-1
2019-10-09,-0.007746939049789292,-1
2019-10-17,0.08070119650686336,1
2019-10-25,0.03289471156398727,1
2019-10-29,-0.00041012047126731677,-1
2019-10-31,-0.030291151888055312,-1
2019-11-01,-0.03223675774239154,-1
2019-11-08,0.010634166243283838,1
2019-11-13,-0.03203905811308383,-1
2019-11-19,-0.02584395928384342,-1
2019-11-26,0.03759826418608614,1
2019-12-05,-0.028685209127882638,-1
2019-12-09,-0.023101713449727446,-1
2019-12-16,0.04810212838930239,1
2019-12-19,0.0011882246352592496,1
2019-12-31,0.04327640154467627,1
2020-01-08,-0.02877729530086881,-1
2020-01-13,-0.008811506218177612,-1
2020-01-20,0.0017627035159906157,1
2020-01-30,-0.016535412818555972,-1
2020-02-05,0.026414133178874533,1
2020-02-13,-0.034946257205756504,-1
2020-02-24,0.0039001365811710542,1
2020-02-28,0.05814567245601343,1
2020-03-04,-0.05321134783683645,-1
2020-03-09,-0.10266951208297626,-1
2020-03-12,0.020595025008597778,1
2020-03-16,-0.022636103381185824,-1
2020-03-20,-0.07107300698316865,-1
2020-03-23,0.04827232191469899,1
2020-03-25,0.023224536788726935,1
2020-03-27,-0.025212484031061244,-1
2020-04-01,0.038887964252050544,1
2020-04-07,0.017462908838739022,1
2020-04-08,0.05907524969834754,1
2020-04-09,0.02972561406048868,1
2020-04-17,0.01683104170420413,1
2020-04-21,0.06986443678897558,1
2020-04-23,0.07251406401076288,1
2020-04-24,0.02227058237666113,1
2020-04-29,0.01555879006425176,1
2020-04-30,-0.04169864629409148,-1
2020-05-04,-0.014556121045094406,-1
2020-05-20,0.026464007939089873,1
2020-05-22,-0.007449352846574886,-1
2020-05-26,0.052624901244228806,1
2020-05-27,0.01992233006059263,1
2020-06-01,0.013923804629526026,1
2020-06-10,-0.03283926247464286,-1
2020-06-12,0.002500651190669334,1
2020-06-26,0.06812661481664706,1
2020-07-02,0.04916210577101676,1
2020-07-06,-0.012946440076341159,-1
2020-07-09,-0.014698607730057711,-1
2020-07-15,-0.012629561654298072,-1
2020-07-23,0.03820481825991928,1
2020-07-28,-0.00623422909204685,-1
2020-08-04,-0.003356001512471285,-1
2020-08-14,0.002654383323684728,1
2020-09-03,0.08345263012543125,1
2020-09-08,0.06098275177621426,1
2020-09-14,0.0046565588697771165,1
2020-09-22,-0.012148466183088291,-1
2020-09-24,0.038610852838707466,1
2020-09-25,0.027288025631975632,1
2020-09-29,0.13042516287964512,1
2020-10-05,0.011142764175834374,1
2020-10-08,-0.03630580726071597,-1
2020-10-15,-0.023790757712106703,-1
2020-10-21,0.004784219063973083,1
2020-10-28,0.00434755156801403,1
2020-11-02,0.011133992587785357,1
2020-11-05,0.015228871558912171,1
2020-11-10,-0.008661825381131583,-1
2020-11-18,0.03812859297285409,1
2020-11-23,-0.005432816292410658,-1
2020-12-02,0.01751166664242665,1
2020-12-08,0.022772227133254663,1
2020-12-17,-0.006359926928018678,-1
2020-12-23,0.007099119789200525,1
2020-12-31,0.10957994305412999,1
2021-01-01,0.03797507833331859,1
2021-01-04,0.026797521714004624,1
2021-01-07,0.029049085880312076,1
2021-01-08,0.043572594022916133,1
2021-01-14,0.012489518343527628,1
2021-01-20,-0.0017228527051486031,-1
2021-01-28,-0.017894226550473236,-1
2021-01-29,0.008999286502484383,1
2021-02-02,0.003324561133452031,1
2021-02-15,-0.021657142803768292,-1
2021-02-17,-0.0004069394450341157,-1
2021-02-22,-0.003498527092463566,-1
2021-02-26,0.03871424678720614,1
2021-03-02,0.017545940735820942,1
2021-03-10,0.019114814473766506,1
2021-03-18,0.004511856328440311,1
2021-03-22,0.011295215352550292,1
2021-03-25,0.030572265438002733,1
2021-03-30,0.05182781112263113,1
2021-04-05,0.002361909125682571,1
2021-04-08,-0.021342522837769717,-1
2021-04-12,-0.008501128339059694,-1
2021-04-13,0.0017556965470904018,1
2021-04-15,-0.036704742313300676,-1
2021-04-20,-0.003991000542106438,-1
2021-04-30,0.03618652048708615,1
2021-05-05,-0.00838260754870368,-1
2021-05-14,0.005980822482298587,1
2021-05-25,0.008750766146666589,1
2021-05-27,0.00100613783276704,1
2021-06-08,0.0303580211080261,1
2021-06-11,-0.00021396639082182922,-1
2021-06-24,-0.015591700538337916,-1
2021-07-05,-0.01881972028627099,-1
2021-07-06,-0.018554025247592976,-1
2021-07-09,0.0005581395656550914,1
2021-08-03,0.020350734998209274,1
