Symbol,Target_Period,Target_Return,Opportunity_Prob,NaiveBayes_CV_Accuracy
NIFTY,2,0.01,,0.8611788617886178
BANKNIFTY,2,0.01,,0.8611788617886178
MARUTI,2,0.01,,0.8611788617886178
HEROMOTOCO,2,0.01,,0.8611788617886178
BAJFINANCE,2,0.01,,0.8611788617886178
M&M,2,0.01,,0.8611788617886178
HDFCBANK,2,0.01,,0.8611788617886178
RELIANCE,2,0.01,,0.8611788617886178
TATAMOTORS,2,0.01,,0.8611788617886178
BAJAJ-AUTO,2,0.01,,0.8611788617886178
ICICIBANK,2,0.01,,0.8611788617886178
TRENT,2,0.01,,0.8611788617886178
BAJAJFINSV,2,0.01,,0.8611788617886178
AXISBANK,2,0.01,,0.8611788617886178
TATASTEEL,2,0.01,,0.8611788617886178
SBIN,2,0.01,,0.8611788617886178
EICHERMOT,2,0.01,,0.8611788617886178
NIFTY,2,0.015,,0.8259485094850948
BANKNIFTY,2,0.015,,0.8259485094850948
MARUTI,2,0.015,,0.8259485094850948
HEROMOTOCO,2,0.015,,0.8259485094850948
BAJFINANCE,2,0.015,,0.8259485094850948
M&M,2,0.015,,0.8259485094850948
HDFCBANK,2,0.015,,0.8259485094850948
RELIANCE,2,0.015,,0.8259485094850948
TATAMOTORS,2,0.015,,0.8259485094850948
BAJAJ-AUTO,2,0.015,,0.8259485094850948
ICICIBANK,2,0.015,,0.8259485094850948
TRENT,2,0.015,,0.8259485094850948
BAJAJFINSV,2,0.015,,0.8259485094850948
AXISBANK,2,0.015,,0.8259485094850948
TATASTEEL,2,0.015,,0.8259485094850948
SBIN,2,0.015,,0.8259485094850948
EICHERMOT,2,0.015,,0.8259485094850948
NIFTY,2,0.02,,0.5700542005420054
BANKNIFTY,2,0.02,,0.5700542005420054
MARUTI,2,0.02,,0.5700542005420054
HEROMOTOCO,2,0.02,,0.5700542005420054
BAJFINANCE,2,0.02,,0.5700542005420054
M&M,2,0.02,,0.5700542005420054
HDFCBANK,2,0.02,,0.5700542005420054
RELIANCE,2,0.02,,0.5700542005420054
TATAMOTORS,2,0.02,0.7129951735203474,0.5700542005420054
BAJAJ-AUTO,2,0.02,,0.5700542005420054
ICICIBANK,2,0.02,,0.5700542005420054
TRENT,2,0.02,,0.5700542005420054
BAJAJFINSV,2,0.02,,0.5700542005420054
AXISBANK,2,0.02,,0.5700542005420054
TATASTEEL,2,0.02,,0.5700542005420054
SBIN,2,0.02,,0.5700542005420054
EICHERMOT,2,0.02,,0.5700542005420054
NIFTY,3,0.01,,0.8782520325203252
BANKNIFTY,3,0.01,,0.8782520325203252
MARUTI,3,0.01,,0.8782520325203252
HEROMOTOCO,3,0.01,,0.8782520325203252
BAJFINANCE,3,0.01,,0.8782520325203252
M&M,3,0.01,,0.8782520325203252
HDFCBANK,3,0.01,,0.8782520325203252
RELIANCE,3,0.01,,0.8782520325203252
TATAMOTORS,3,0.01,,0.8782520325203252
BAJAJ-AUTO,3,0.01,,0.8782520325203252
ICICIBANK,3,0.01,,0.8782520325203252
TRENT,3,0.01,,0.8782520325203252
BAJAJFINSV,3,0.01,,0.8782520325203252
AXISBANK,3,0.01,,0.8782520325203252
TATASTEEL,3,0.01,,0.8782520325203252
SBIN,3,0.01,,0.8782520325203252
EICHERMOT,3,0.01,,0.8782520325203252
NIFTY,3,0.015,,0.8219512195121951
BANKNIFTY,3,0.015,,0.8219512195121951
MARUTI,3,0.015,,0.8219512195121951
HEROMOTOCO,3,0.015,,0.8219512195121951
BAJFINANCE,3,0.015,,0.8219512195121951
M&M,3,0.015,,0.8219512195121951
HDFCBANK,3,0.015,,0.8219512195121951
RELIANCE,3,0.015,,0.8219512195121951
TATAMOTORS,3,0.015,,0.8219512195121951
BAJAJ-AUTO,3,0.015,,0.8219512195121951
ICICIBANK,3,0.015,,0.8219512195121951
TRENT,3,0.015,,0.8219512195121951
BAJAJFINSV,3,0.015,,0.8219512195121951
AXISBANK,3,0.015,,0.8219512195121951
TATASTEEL,3,0.015,,0.8219512195121951
SBIN,3,0.015,,0.8219512195121951
EICHERMOT,3,0.015,,0.8219512195121951
NIFTY,3,0.02,,0.42710027100271003
BANKNIFTY,3,0.02,,0.42710027100271003
MARUTI,3,0.02,,0.42710027100271003
HEROMOTOCO,3,0.02,,0.42710027100271003
BAJFINANCE,3,0.02,,0.42710027100271003
M&M,3,0.02,,0.42710027100271003
HDFCBANK,3,0.02,,0.42710027100271003
RELIANCE,3,0.02,,0.42710027100271003
TATAMOTORS,3,0.02,0.8802968645780896,0.42710027100271003
BAJAJ-AUTO,3,0.02,,0.42710027100271003
ICICIBANK,3,0.02,,0.42710027100271003
TRENT,3,0.02,,0.42710027100271003
BAJAJFINSV,3,0.02,,0.42710027100271003
AXISBANK,3,0.02,,0.42710027100271003
TATASTEEL,3,0.02,0.8554448245576545,0.42710027100271003
SBIN,3,0.02,,0.42710027100271003
EICHERMOT,3,0.02,,0.42710027100271003
NIFTY,5,0.01,,0.9102981029810298
BANKNIFTY,5,0.01,,0.9102981029810298
MARUTI,5,0.01,,0.9102981029810298
HEROMOTOCO,5,0.01,,0.9102981029810298
BAJFINANCE,5,0.01,,0.9102981029810298
M&M,5,0.01,,0.9102981029810298
HDFCBANK,5,0.01,,0.9102981029810298
RELIANCE,5,0.01,,0.9102981029810298
TATAMOTORS,5,0.01,,0.9102981029810298
BAJAJ-AUTO,5,0.01,,0.9102981029810298
ICICIBANK,5,0.01,,0.9102981029810298
TRENT,5,0.01,,0.9102981029810298
BAJAJFINSV,5,0.01,,0.9102981029810298
AXISBANK,5,0.01,,0.9102981029810298
TATASTEEL,5,0.01,,0.9102981029810298
SBIN,5,0.01,,0.9102981029810298
EICHERMOT,5,0.01,,0.9102981029810298
NIFTY,5,0.015,,0.8755420054200542
BANKNIFTY,5,0.015,,0.8755420054200542
MARUTI,5,0.015,,0.8755420054200542
